Comment,Actual_Sentiment,Predicted_Sentiment_Lexicon
Mary Jane? Looks more like Mariangela to me,positive,positive
How time&#39;s flies  fast wow it&#39;s been 1 year ago,neutral,positive
Wow i watched this movie again today..It still feels surreal...Man we some lucky ppl to witness this movie in theatres &lt;3,positive,positive
Our children will not comprehend the impact of this movieÃ??THIS WAS CINEMA,positive,neutral
"It&#39;s been a year,",neutral,neutral
this movie is garbage. wtf is this kid doing.. Like who did this dumb movie. omg.,negative,negative
"If I could go back and relive this experience again, I would. One of the most pinnacle moments of my life. Glad I lived to see it.<br><br><br><br><br><a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=130"">2:10</a> I&#39;m also now just realising that you can hear the sound of Andrew Garfield&#39;s web shooter going off... how did we all miss that? ????",positive,positive
the actual most hype for a movie since the last prequels for starwars ???????Ãº,positive,neutral
 i was sad I lost 2 hours for such an stupid film. I was curious about how people thought on the movie.... People do like this film. Then an understand the makers of the movie does understand An know the brain level of the people who do look to these films. The new generation is brainswashed and do not have the need to use their brains. Im sad for their enslived future.,negative,negative
ItÃ??s been a year,neutral,neutral
"Watching a year later, and still get chills",positive,neutral
almost 2 years is crazy???Ã¨????,neutral,neutral
"Is it me or did anyone see other spideys in this trailer???, ????????",neutral,neutral
I will never love another spider man  movie as much as the first spider-man  part 1 and part 2.....he was a high school kid  bitten by a damn spider scared to death going through the power change and didn&#39;t know what the hell he was doing .....That was my spider man plus he was cute Tobey maguire 2002 back then LOL.......,negative,negative
At least let venom be in it,neutral,neutral
thanks sony pictures,positive,positive
Was that the sinister six!?,neutral,negative
Such a boring movie.. dont waste ur time,negative,neutral
I REALLY FREAKING LOVED THIS MOVIEEEEEE!!!!!ÃÃ¹?ÃÃ¹?ÃÃ¹?ÃÃ¹?,positive,positive
Nostalgic looking back to this (the reveal) the united spidey fans..ahh what a great Spider-Man movie to date ngl,positive,positive
People who don&#39;t care about marvel match this movie,neutral,positive
A year ago,neutral,neutral
Man this is one of the greatest trailers,positive,positive
The suspense,neutral,neutral
Ã??The concept of the multiverse is one we know frighteningly little ofÃ?Ã¹,neutral,negative
Another childish mcu movie. Overrated.,negative,negative
I miss this movie hype,neutral,negative
Im So Happy I Got To Experience This Movie With All The Hype. Our New Generation Will Never Understand.,positive,positive
This is the Most hyped Marvel movie ???Ã¹??Ã§Â®  Ever,positive,positive
"not worth it,,,",negative,positive
The hype didn&#39;t match the movie.  Very disappointed,negative,negative
"Ever time I see this trailer this blows my mind to the water and so much goosebumps,chills and suspension and green Goblin was a great Villan in this and now it was like a epic conclusion to the spider man and the movie is so fantastic from the beginning to the end ???Ã¨ still fantastic this year this trailer is the best trailer ????",positive,positive
I am so grateful to have experienced this movie in theaters having seen ZERO spoilers and seeing different generations of fans coming together to enjoy this movie.,positive,positive
Trailer STILL gives me chills,positive,neutral
Imagine the disappointment level if this all turned out to be mysterio&#39;s illusion ï£¿Ã¼Ã²Ã,negative,negative
1 year since the biggest movie of all time released it&#39;s official trailer.,positive,neutral
Why they dont add the other spider manï£¿Ã¼Ã²Ã¯,neutral,neutral
"Overrated movie in my opinion, This movie isnÃ??t going to age very well.",negative,neutral
After the world met captain Levi Ackerman they discover who the real spiderman was ... Levi will cut peter in pieces ...but you all not ready for this conversation ...,neutral,positive
"Ok , the acting , special effects were great . With that being said I did not enjoy the movie. I thought the story line could have been a lot better . I donâÃÃ´t like the fact his aunt was murdered because of his choice . I donâÃÃ´t like the fact the writer set an example that is not realistic . The moral of the movie for me was if you are being robbed by a criminal give the criminal the keys to your car to drive away with  , open your door and let the criminal in your home and assist them with stealing your property. If your family gets hurt in the process itâÃÃ´s ok because you must be kind all the time even if you are being violently attacked are robbed. STUPID CONCEPT !",negative,negative
I hate Green Goblin for killing Aunt May but still this was a really good movie I cried though,positive,negative
last movie i enjoyed watching in theater and time really files by,positive,positive
Imagine if Tobey Maguire and Andrew GarfieldÃ??s Spider-Man make an appearance it would make it such a great movie,positive,positive
They brought back all the old Spider-Mans. Shouldn&#39;t they bring back white MJ?,neutral,neutral
Now Needs This: <br>Spider-Man: A New Home <br>A Different Version <br>Peter Parker/Spider-Man. <br>Mary Jane. <br>Dr. Otto Octavius/Doctor Octopus. <br>The Daily Bugle. <br>J. Jonah Jameson <br>The Past Of Peter Parker. <br>Uncle Ben. <br>The Death Of Uncle Ben. <br>Oscorp. <br>A Little Appearance Of The Green Goblin. <br>A New Actor For Doctor Octopus. <br>MJ <br>Ned <br>More Suites For Spider-Man. <br>The True Iron Spider Armor <br>A New Boy Jorge Who Help To The Wall Crawler In This Movie.,positive,positive
But max didn&#39;t know that spider man is peter parker,neutral,neutral
The best superhero film of all time in my opinion ????,positive,positive
After watching this movie<br>I&#39;m thinking that Andrew&#39;s Spiderman will start dating Zendaya???Ã§???? and tom will become venom man.???Â®????,neutral,neutral
Was that Harry Osborne as the other goblin?,neutral,neutral
This is the most Legendary movie,positive,neutral
the hype for this movie was actually insane,positive,negative
IÃ??ve watched this movie 6 times and the trailer like about a billion yet it never absolutely never gets old,positive,positive
Imagine the Spider man villains ran into the MCU powerhouses such as Scarlet witch or Thor when they arrived ???? Ã?ËÃ£?Ã¨,neutral,negative
I just wanna live my total life in the hype of this movie ÃÃ¹?,positive,neutral
Two years ago today this miracle happened????ÃÃ¹?Ã£?Ã¨Ã?Ã§????,positive,positive
"Spider-crap. Probably One of the worst movies ever created. The worst ir the Century for sure. How can you Invest s?? much Money n a crap such as this movie. The script is a joke, car?â cters full with left wing pol??tical LGBT, and other agendas. The zombie generation Addicted to Smart phones, s?? annoying, Impossible technology, etc... Tryng to avoid old clich?Â¶s, they come up with new ones, like a black MJ, a hot ant May. Peter Parker best friend is probably the ugliest man Alive. An Indian flash?!?! OMG and all this on purpose, like if the audience was stupid",negative,negative
As all of the spiderman movies include home maybe I&#39;ll tell you some name idea&#39;s for the next spiderman movie ï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ã<br><br>&quot;Spiderman homeless&quot;<br>&quot;Spiderman way home&quot;<br>&quot;Spiderman back home&quot;<br>&quot;Spiderman near to home&quot;<br>XD ik this is pretty lame ï£¿Ã¼Ã²Ã,neutral,positive
Was disappointed would give it a 4.5 ...ï£¿Ã¼Ã´Ã,negative,negative
I played fortnite<br>chapter 3 season 1 Spiderman mythics,neutral,positive
"If I had one wish, I would wish to relive watching this amazing experience.",positive,positive
I Am Missing The Incredible Hype Of This Movie ????????,positive,negative
Very bad trailer. Very bad ï£¿Ã¼Ã²Ã»ï£¿Ã¼Ã«Ã©ï£¿Ã¼Ã«Ã©ï£¿Ã¼Ã«Ã©,negative,negative
Not forget to subscribe,neutral,negative
2 years is wild,neutral,neutral
Silly fool spiderman,negative,negative
"i honestly did not think the movie would be good at all,but now i am here crying.i am so thankful that they ended it like ,it did not get shitttyy",positive,positive
Bro i am watching this trailer after movie and there was no clue for all three spiderman in the movie,neutral,neutral
Obsessed I grew up with all spiderman,positive,negative
Hard to believe itÃ??s been three years since the Lizard was punched by nothing.,negative,negative
Where are all those people who told us not to over hype this movie and not to believe all the rumors because we all are going to be disappointed af?,negative,negative
Sucks Mysterio was cut from the movie,negative,negative
You had to be thereÃ??the hype with the three spider-manÃ??s possibility was crazy. I miss those days.,positive,negative
Did you know the Ã?? we are happy to serve you cupÃ?Ã¹ was first introduced in spider man 3. When tobey was in the hospital with harry. You can see him sitting down with the cup in his hands  waiting for the doctor to say something.,positive,positive
Watched this trailer for the first time after I watched the movie and dang they put so much in there the only thing they didn&#39;t spoil was Andrew and Tobey and people still figured that out,positive,neutral
Will little goblin Jr be in this movie?,neutral,neutral
IÃ??ll never forget the hype for this Movie and the reactions on opening day already knowing Tobey and Andrew were in it. But actually seeing them return in theaters for the first time after all these years is just one if the best moment in History,positive,positive
To see how far MCU has fallen. To let computers be their actors. To let AI be their writers.,negative,neutral
Can&#39;t wait,positive,neutral
Wow it&#39;s been 3 years huh ?,neutral,positive
Literally the best movie i ever seen ???ÃµÃÃ¹?ÃÃ¹?ÃÃ¹?ÃÃ¹?ÃÃ¹?ÃÃ¹?ÃÃ¹?ÃÃ¹?ÃÃ¹?,positive,positive
This movie was mid,negative,neutral
"H E L L O   P E T E R<br><a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=51"">0:51</a><br><br>When he said that it remind me of the <br><br>SURPRISE MOTHERFVCKER",neutral,positive
One of the most overrated super hero movies of all time.,negative,positive
"&quot;Peter, your struggling, to have everything you want, while the world tries to make you choose&quot;",neutral,negative
"for me, It been 20 years since be spider-man fan by far this movie get me so much hype for everything as called for like past spider-men actors to came back on big screen, and amazing film.",positive,positive
Sean,neutral,neutral
We want hulk no way home<br>What we got:,negative,positive
can&#39;t believe people watch this shit,negative,negative
This Spider-Man series is really bad . Poor script writing.<br>I miss Tobey,negative,negative
Venom 4:New Reborn movie is officially releasing soon in 2026.,neutral,neutral
People should understand that marvel ruined the spiderman character with worst story and graphics. Compare the Tsam 1 and Tasm 2 with Marvel spiderman movies. The graphics are worst ???Ãµ????????????.,negative,negative
3 years ago,neutral,neutral
Thank you for this movie. Thank you for the message. It helped me be more aware of enemies as well as heroes and you GOD. Thank you that youÃ??re always speaking. Nothing was made that was not made by you. ÃÃ¹?ÃÃ¹?ÃÃ¹?,positive,positive
It&#39;s has been year I have remembered what was the hype of the movie???Ã¹<br>So lucky to watch on theatre and being a Marvel fan so lucky ÃÃ¹ÃºÃ£?Ã¨ÃÃ¹ÃºÃ£?Ã¨,positive,positive
Nostalgia bait movie and y&#39;all ate it,positive,neutral
Who else is watching this at the end of 2022 and has watched the full film a thousand times. Ps fun fact if u watch the scene were peter is swinging through the city with mj to escape the angry crowd at the start of the movie carefully enough youÃ??ll see a fortnite billboard on a building,positive,positive
the hype was unreal.i wish i could watch this movie for the first time again,positive,positive
2018: Avengers infinity war <br>2019: Avengers endgame<br>2021: spider man no way home<br>These movies was time to be alive for superhero fans missing those days now ??????????????Ã¹Ë??Ã¹Ë,negative,negative
Who writes this junk..so when did Spiderman go to college and start carrying a cell phone this is for Dorks,negative,negative
I love this movie so much,positive,positive
"That December,my godd..i have watched this no. Of timess but still ÃÃ¹?ÃÃ¹?end of movie,will bring you cry",positive,negative
Very childish comedy,negative,positive
Garbage film. Into the spiderverse and across the spiderverse is better,negative,positive
&quot;Scooby-do this crap&quot;<br>I am going to cringe my spine out of my body,negative,neutral
This is realy a lifetime experience ????,positive,neutral
This masterpiece had me SOBBING too many times,positive,positive
I hate that the leading lady falling is spiderman&#39;s trademark cause we all know how it&#39;ll end.,negative,negative
It was 3 years ago,neutral,neutral
No way home was a 9/10 movie  i think tobey and andrew could had moree scenes,neutral,neutral
"The ability of the Spider-Man films to portray Peter Parker&#39;s dual lifeÃ??that of an apparently normal teenager juggling the extraordinary responsibilities of being a superheroÃ??is one of their most notable features. The struggle to strike a balance between one&#39;s personal life and one&#39;s responsibilities as a crime-fighting vigilante, whether played by Tobey Maguire, Andrew Garfield, or Tom Holland, is a recurring theme in the films. Because it captures the universal struggle of juggling conflicting facets of one&#39;s life, this theme appeals to audiences.Filmmakers can now vividly depict Spider-Man&#39;s web-slinging stunts and fights against strong adversaries thanks to advancements in visual effects. Movies featuring superhero action sequences that go beyond swinging through New York City skyscrapers and taking on legendary villains like Venom, Doctor Octopus, Green Goblin, and the Vulture have set a higher standard.Furthermore, what sets Spider-Man movies apart is how moral quandaries and the human side of superheroes are portrayed. Audiences are deeply impacted by Peter Parker&#39;s internal struggles, his desire to do good, and the sacrifices he makes for the greater good. In conclusion, by fusing exciting action, gripping narrative, and likable characters, Spider-Man films have irrevocably altered the film industry. These movies, which feature everyone&#39;s favorite amiable neighborhood superhero, never fail to enthrall audiences, whether they&#39;re swinging across cityscapes or navigating life&#39;s challenges.",positive,positive
"If you were to tell me 6 years ago we&#39;d get a finale to a whole saga with Tom Holland fighting villains from different franchises to save the whole multiverse and sacrificing his identity in the process, id never believe you.",positive,negative
The.  I.  I want that movie called Disney+ the Spider-Man movie no way home please,neutral,positive
Just saw the movie. Not what I expected!!,negative,neutral
Wow 7 months since this trailer came out. Time flies fast,positive,positive
This movie was horrible,negative,negative
"A fantastic Spider-man film! I absolutely loved the concept of bringing in past Spider-Men, and the way they incorporated their stories into the MCU is genius. I thoroughly enjoyed this film, and I cannot wait to watch more films with both this spiderman, and the multiverse.
<br>
<br>
<br>10/10",positive,positive
i thought his black and gold suit was the symbiote ????,neutral,neutral
"If there was a time machine to go back to late 2021 to relive the hype, I would.",positive,neutral
Best movie of 2020s,positive,positive
I wish i had a time machine ??ÃË,neutral,positive
too complicated .....,negative,neutral
This movie is so boring. Bleh. Avoid.,negative,negative
I am from India I remember waking up early morning excited to watch this trailer and it definitely made my day,positive,positive
Trash I canÃ??t lie very disappointing give it 3/10,negative,negative
Who else got recommended by this again ?,neutral,positive
Watching this on 2024???Ã¹,neutral,neutral
Im only here to see the real spiderman tobby maguire well he is not on the trailer so damn u sony and marvel ill hav to go to cinema this week to see what tye story hav for tobby maguire plz dont make it a lame appearance and make the story be good,negative,positive
Time really files.,neutral,neutral
Bro why is doctor strange so underrated,negative,negative
"For the next Spider-Man movie, i really really wanna see Chameleon and Scorpion! I mean Chameleon was the first villain that Spider-Man fought and Scorpion has yet not been on the big screen (at least not in costume)",neutral,negative
God i hated and loved this movie ????,positive,positive
i watched that in netflix,neutral,neutral
Hard to believe itÃ??s already been a year. The hype for this movie was truly something else.,positive,positive
SCOOBI DOO THIS CR@p,neutral,neutral
One year later and wow,positive,positive
Can anyone just the linked movies of it,neutral,neutral
Hey guys wait wait I just realise in trollhunters the rise of Titans Toby dies and Jim reverse the time the same happens in Spider-Man no way home Doctor Strange reverse the time????????????????????????????????????????????????????????,neutral,negative
Miss the hype for this movie ????????,positive,negative
10 out of 10 movie .A Fucking masterpiece,positive,positive
ngl i didn&#39;t really understand this movie. why did they just put some random new york kid in it. kinda weird tbh,negative,negative
Spider-Man/Sonic the Hedgehog: No Way Home,neutral,neutral
"This is not a movie, this is an emotion for us????",positive,neutral
This trailer in October 2022 ????????????,neutral,neutral
It&#39;s been a full year since this masterpiece released man.,positive,positive
Dude I&#39;m am 12 years old,neutral,neutral
"I never getting bored wathing this trailer, the soundtracks so satisfying, love this part <a href=""https://www.youtube.com/watch?v=JfVOs4VSpmA&amp;t=90"">1:30</a>",positive,positive
YO? live action Spider-verse!? fucking sick,negative,negative
How old is peter in this?,neutral,neutral
I think in the next Spiderman we get introduced to Miles Morales,neutral,neutral
"Marvel Entertainment, Sony Pictures Entertainment, they announce so much everywhere to hype for this big action genre",positive,positive
The Hello Peter was something else ÃÃ¹?,positive,neutral
I still canÃ??t believe that this masterpiece came out a year ago it felt like yesterday,neutral,positive
Watched it at 8 in the morning after I woke up when it was released ???Ã¹... still getting chills...what a time it was ÃÃ¹?Ã£?Ã¨,positive,neutral
"Don&#39;t, it&#39;s a canon event",neutral,neutral
I can&#39;t wait to see Spider-Man 50: Old Folks Home.,positive,neutral
three years from a post credit scene and now everyone forgot this movie,neutral,positive
Zendaya looks like a regular weird teenage girl in spiderman but irl she&#39;s an A-list celebrity,neutral,positive
Ã??Spider Man no way homeÃ?Ã¹<br>Ã??Insect man direct path to my houseÃ?Ã¹<br>there the same trust me????,neutral,positive
"The end of that movie is brocken. Don&#39;t watch it, it is gonna ruin the past parts.",negative,negative
"WTH, I gotta watch this again!!!!",positive,negative
In some ways. This was more hyped up than endgame,positive,neutral
The hype of this movie was so gorgeous,positive,positive
Only Marvel fans knows that this movie hype is greater than endgame..,positive,positive
This movie is Trash like 2 previous ones with Tom Holand,negative,positive
"Most overrated and sh*ttest movie I&#39;ve ever seen. This is just a stupid fan service, I don&#39;t understand why people call it &quot;A Masterpiece&quot; ????????",negative,negative
The stupidest movie ive ever watched. Should be called &quot;the amazing stupido-man&quot;,negative,positive
Cant wait for this movie,positive,neutral
"boring effect-overloaded comic movie. It&#39;s like fast-food these days to watch comic movies. It&#39;s good vs. bad, boom-boom-boom-effects and a story that is replacable by any other of those stories.",negative,negative
Boring and overrated,negative,negative
Wait. Green Goblin and dock ock from Raimi verse is here?? I wish Tobey and Andrew will follow :(,negative,positive
Pls re release this again b4 the release of spiderman across the spiderverse in Sri lanka!<br>Pls consider!!!<br>Coz there wasn&#39;t a big re release (extended funstuff version)missed this movie twice????????????,neutral,positive
Me to Marvel and sony bring back bully maguire ( spider man 3 black suit) once again<br> Ultimate crez of Spider Man fans worldwide,negative,positive
Worst movie ever,negative,negative
I kinda wish Andrew Garfield refused this movie just to get back at them for doing him dirty with the Spider-Man franchise. They mustÃ??ve offered him a lot of money,negative,negative
40 millions views for this trash?   You people are mindless.  Watch &quot;The Jones Plantation&quot; instead.,negative,negative
A trailer with zero spoiler,neutral,neutral
This Movie was a Complete Joke...maybe 12yo and UNDER would watch it...but otherwise it&#39;s a complete Joke...Toby Maguire was the ONLY believable Spider man anyway...this guy was hopeless,negative,positive
Again here ??Ã¹ÃÃÃ¹?Ã£?Ã¨,neutral,neutral
Tom is really suit for new generation SpiderMan ????,positive,neutral
"It would have been a masterpiece if they added bully maguire, venom or Rhino",neutral,positive
Whos here after homecuming,neutral,neutral
this movie is sad,negative,negative
From all this time I watched this trailer I learned every part of what they said,neutral,neutral
people is going to be disappointed after they expected too much seeing trio spidey lmfao,negative,positive
"I saw it once,today. <br>I feel unsatisfied,a strange feeling when I feel almost physical &#39;pain&#39; when looking at the trailer.  I need to see it again! <br>Masterpice!",negative,negative
"Me seeing Peter girlfriend falling: ah shit, here we go again.",negative,negative
"I came back after the second trailer of Across the Spider-Verse, and Miguel O&#39;Hara said the reference caught me off-guard LMAO. ????????????",positive,positive
Earth :199999,neutral,neutral
how pathetic magically reviving dead characters ???,negative,negative
Anyone in 2024 just reminiscing about better times??,neutral,positive
Mary Jane is wrong  and what is that stupid Chinese or hawiian boy is ..why act and look so stupid ...and not spiderman more like spiderboy,negative,negative
I want to Live the experience again,positive,positive
In the movie he says shit????????????,neutral,negative
This movie felt like it was written by Twitter.,neutral,positive
it wa so disappointing- hated this movie iâÃÃ´m so sad but itâÃÃ´s the truth,negative,negative
WhoÃ??s here for 1 year,neutral,neutral
I just can&#39;t wait for the next one????????,positive,neutral
I canÃ??t believe itÃ??s been 2 and a half year since this movie released feels like yesterday,neutral,positive
Around the planet,neutral,neutral
Always the same dumb enemies... Tired of that crap,negative,negative
Just realised a week to him was like 5 years for us,neutral,positive
Who has come here after 2 years of this movie ???Ã¹ release.<br> ????,neutral,neutral
I feel bad for those people that didnÃ??t experience this movie like the rest of us,positive,negative
The trailers for the film are always better than the actual film,neutral,positive
no subtitles so i have no idea what&#39;s going on,neutral,neutral
"A year ago today, this amazing movie came out. Still wish I can go back and watch it for the first time again for the intensity and the reaction from the crowd",positive,positive
Avoided to use internet for 2 days to see the movie without a spoiler suck a hype ! ÃÃ¹?,positive,negative
Am I the only one who nearly lost it when Tobey MaguireÃ??s Spider-Man returned?,positive,negative
Spider Man Monday has been the highlight of the summer box office.,neutral,positive
I watch the film. It is awesome but the end is dumb. MJ had to recognize Peter.!!! I was sâÃ¦ angry all day because this!!!! ï£¿Ã¼Ã²Â°ï£¿Ã¼Ã²Â°ï£¿Ã¼Ã²Â°,negative,negative
not a biggest fan of spiderman sorry.,negative,positive
"&quot;Maybe she didn&#39;t die for nothing,  peter &quot; ÃÃ¹?Ã£?Ã¨Ã?Ã§????",neutral,negative
There are tons of spiderman stories and they had to repeat the previous ones,negative,neutral
"I see this trailer and it gives me the same feelings since the first time I saw it, it&#39;s beautiful",positive,positive
Today one year ago,neutral,neutral
Why does this look so lame,negative,negative
There was just too much going on in this movie. And all of it was for nothing.,negative,neutral
Probably the worst marvel movie full of shit,negative,negative
This movie made 2021,neutral,neutral
This movie was so hype!!! Everyone hoped for Tobey and Andrew and watching this in the movie theater was so much fun!,positive,positive
Now Trailer 2<br>Sonic Movie 3 <br>November,neutral,neutral
CanÃ??t believe almost two years since this movie was coming out. I remember how insane the hype was. Good times??Ã¹Ë,positive,positive
"piece of shit, unimaginative lazy move! corporate money grab to collect money from gullible americans",negative,negative
Awesome film,positive,positive
